date,country,D,H,I,M,S
2021-12-02,Afghanistan,3,0,0,37,0
2021-12-02,Japan,25,0,0,101,0
2021-12-02,Sweden,1,0,0,9,0
2021-12-03,Afghanistan,3,0,0,37,0
2021-12-03,Japan,25,0,0,101,0
2021-12-03,Sweden,1,0,0,9,0
2021-12-04,Afghanistan,3,0,0,37,0
2021-12-04,Japan,25,0,0,101,0
2021-12-04,Sweden,1,0,0,9,0
2021-12-05,Afghanistan,3,0,0,37,0
2021-12-05,Japan,25,0,0,101,0
2021-12-05,Sweden,1,0,0,9,0
2021-12-06,Afghanistan,3,1,0,36,0
2021-12-06,Japan,25,2,0,99,0
2021-12-06,Sweden,1,0,0,9,0
2021-12-07,Afghanistan,3,1,0,36,0
2021-12-07,Japan,25,8,0,93,0
2021-12-07,Sweden,1,0,0,9,0
2021-12-08,Afghanistan,3,2,0,35,0
2021-12-08,Japan,25,11,2,88,0
2021-12-08,Sweden,1,0,0,9,0
2021-12-09,Afghanistan,3,3,0,34,0
2021-12-09,Japan,25,13,4,84,0
2021-12-09,Sweden,1,1,0,8,0
2021-12-10,Afghanistan,3,1,2,34,0
2021-12-10,Japan,25,19,5,77,0
2021-12-10,Sweden,1,1,0,8,0
2021-12-11,Afghanistan,3,1,3,33,0
2021-12-11,Japan,25,17,9,75,0
2021-12-11,Sweden,1,1,0,8,0
2021-12-12,Afghanistan,3,0,4,33,0
2021-12-12,Japan,25,14,12,73,2
2021-12-12,Sweden,1,1,1,7,0
2021-12-13,Afghanistan,3,0,4,33,0
2021-12-13,Japan,25,14,11,74,2
2021-12-13,Sweden,1,1,1,7,0
2021-12-14,Afghanistan,3,1,2,33,1
2021-12-14,Japan,25,11,15,72,3
2021-12-14,Sweden,1,0,2,7,0
2021-12-15,Afghanistan,3,1,1,33,2
2021-12-15,Japan,25,11,12,72,6
2021-12-15,Sweden,1,0,2,7,0
2021-12-16,Afghanistan,3,1,0,33,3
2021-12-16,Japan,25,10,11,72,8
2021-12-16,Sweden,1,0,1,8,0
2021-12-17,Afghanistan,3,0,1,33,3
2021-12-17,Japan,25,5,15,72,9
2021-12-17,Sweden,1,0,1,8,0
2021-12-18,Afghanistan,3,1,1,32,3
2021-12-18,Japan,25,5,10,74,12
2021-12-18,Sweden,1,0,0,8,1
2021-12-19,Afghanistan,3,2,1,31,3
2021-12-19,Japan,25,4,10,75,12
2021-12-19,Sweden,1,0,0,8,1
2021-12-20,Afghanistan,3,2,1,31,3
2021-12-20,Japan,25,7,8,72,14
2021-12-20,Sweden,1,1,0,7,1
2021-12-21,Afghanistan,3,5,0,28,4
2021-12-21,Japan,25,6,6,72,17
2021-12-21,Sweden,1,2,0,6,1
2021-12-22,Afghanistan,3,7,0,26,4
2021-12-22,Japan,25,12,7,65,17
2021-12-22,Sweden,1,2,1,5,1
2021-12-23,Afghanistan,3,5,3,25,4
2021-12-23,Japan,25,10,10,63,18
2021-12-23,Sweden,1,2,1,5,1
2021-12-24,Afghanistan,3,6,3,24,4
2021-12-24,Japan,25,11,11,60,19
2021-12-24,Sweden,1,2,1,5,1
2021-12-25,Afghanistan,3,7,4,22,4
2021-12-25,Japan,25,15,11,56,19
2021-12-25,Sweden,1,1,2,5,1
2021-12-26,Afghanistan,3,6,6,21,4
2021-12-26,Japan,25,10,16,58,17
2021-12-26,Sweden,1,1,1,6,1
2021-12-27,Afghanistan,3,4,5,23,5
2021-12-27,Japan,25,12,14,57,18
2021-12-27,Sweden,1,1,1,6,1
2021-12-28,Afghanistan,3,4,7,22,4
2021-12-28,Japan,26,8,17,56,19
2021-12-28,Sweden,1,1,1,6,1
2021-12-29,Afghanistan,4,4,7,22,3
2021-12-29,Japan,28,8,18,55,17
2021-12-29,Sweden,1,1,0,7,1
2021-12-30,Afghanistan,4,2,7,24,3
2021-12-30,Japan,28,7,14,58,19
2021-12-30,Sweden,1,0,1,7,1
2021-12-31,Afghanistan,4,4,5,22,5
2021-12-31,Japan,28,5,14,61,18
2021-12-31,Sweden,1,0,1,7,1
2022-01-01,Afghanistan,4,4,3,22,7
2022-01-01,Japan,29,7,8,66,16
2022-01-01,Sweden,1,0,1,8,0
2022-01-02,Afghanistan,4,5,2,21,8
2022-01-02,Japan,29,7,4,68,18
2022-01-02,Sweden,1,1,1,7,0
2022-01-03,Afghanistan,4,5,0,23,8
2022-01-03,Japan,30,6,4,68,18
